sheet,sku,price,Sheet,SKU,Preço,_merge,price_diff
BOINAS INVERNO,HOLOGRAMME,33.0,VISEIRAS,HOLOGRAMME,2.0,both,31.0
BOINAS INVERNO,HOLOGRAMME,33.0,COWBOY,HOLOGRAMME,8.0,both,25.0
BOINAS INVERNO,HOLOGRAMME,34.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-31.0
BOINAS INVERNO,HOLOGRAMME,34.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,22.0
BOINAS INVERNO,HOLOGRAMME,34.0,VISEIRAS,HOLOGRAMME,2.0,both,32.0
BOINAS INVERNO,HOLOGRAMME,34.0,COWBOY,HOLOGRAMME,8.0,both,26.0
BOINAS VERÃO,HOLOGRAMME,7.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-58.0
BOINAS VERÃO,HOLOGRAMME,7.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-5.0
BOINAS VERÃO,HOLOGRAMME,7.0,VISEIRAS,HOLOGRAMME,2.0,both,5.0
BOINAS VERÃO,HOLOGRAMME,7.0,COWBOY,HOLOGRAMME,8.0,both,-1.0
BOINAS VERÃO,HOLOGRAMME,8.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-57.0
BOINAS VERÃO,HOLOGRAMME,8.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-4.0
BOINAS VERÃO,HOLOGRAMME,8.0,VISEIRAS,HOLOGRAMME,2.0,both,6.0
BOINAS VERÃO,HOLOGRAMME,12.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-53.0
BOINAS VERÃO,HOLOGRAMME,12.0,VISEIRAS,HOLOGRAMME,2.0,both,10.0
BOINAS VERÃO,HOLOGRAMME,12.0,COWBOY,HOLOGRAMME,8.0,both,4.0
BOINAS VERÃO,HOLOGRAMME,15.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-50.0
BOINAS VERÃO,HOLOGRAMME,15.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,3.0
BOINAS VERÃO,HOLOGRAMME,15.0,VISEIRAS,HOLOGRAMME,2.0,both,13.0
BOINAS VERÃO,HOLOGRAMME,15.0,COWBOY,HOLOGRAMME,8.0,both,7.0
ARTIGOS EM PELE,HOLOGRAMME,1.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-64.0
ARTIGOS EM PELE,HOLOGRAMME,1.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-11.0
ARTIGOS EM PELE,HOLOGRAMME,1.0,VISEIRAS,HOLOGRAMME,2.0,both,-1.0
ARTIGOS EM PELE,HOLOGRAMME,1.0,COWBOY,HOLOGRAMME,8.0,both,-7.0
ARTIGOS EM PELE,HOLOGRAMME,2.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-63.0
ARTIGOS EM PELE,HOLOGRAMME,2.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-10.0
ARTIGOS EM PELE,HOLOGRAMME,2.0,COWBOY,HOLOGRAMME,8.0,both,-6.0
ARTIGOS EM PELE,HOLOGRAMME,3.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-62.0
ARTIGOS EM PELE,HOLOGRAMME,3.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-9.0
ARTIGOS EM PELE,HOLOGRAMME,3.0,VISEIRAS,HOLOGRAMME,2.0,both,1.0
ARTIGOS EM PELE,HOLOGRAMME,3.0,COWBOY,HOLOGRAMME,8.0,both,-5.0
GORROS,HOLOGRAMME,2.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-63.0
GORROS,HOLOGRAMME,2.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-10.0
GORROS,HOLOGRAMME,2.0,COWBOY,HOLOGRAMME,8.0,both,-6.0
GORROS,HOLOGRAMME,3.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-62.0
GORROS,HOLOGRAMME,3.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-9.0
GORROS,HOLOGRAMME,3.0,VISEIRAS,HOLOGRAMME,2.0,both,1.0
GORROS,HOLOGRAMME,3.0,COWBOY,HOLOGRAMME,8.0,both,-5.0
CHAPÉUS LÃ,HOLOGRAMME,2.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-63.0
CHAPÉUS LÃ,HOLOGRAMME,2.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-10.0
CHAPÉUS LÃ,HOLOGRAMME,2.0,COWBOY,HOLOGRAMME,8.0,both,-6.0
CHAPÉUS LÃ,HOLOGRAMME,3.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-62.0
CHAPÉUS LÃ,HOLOGRAMME,3.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-9.0
CHAPÉUS LÃ,HOLOGRAMME,3.0,VISEIRAS,HOLOGRAMME,2.0,both,1.0
CHAPÉUS LÃ,HOLOGRAMME,3.0,COWBOY,HOLOGRAMME,8.0,both,-5.0
CHAPÉUS LÃ,HOLOGRAMME,4.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-61.0
CHAPÉUS LÃ,HOLOGRAMME,4.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-8.0
CHAPÉUS LÃ,HOLOGRAMME,4.0,VISEIRAS,HOLOGRAMME,2.0,both,2.0
CHAPÉUS LÃ,HOLOGRAMME,4.0,COWBOY,HOLOGRAMME,8.0,both,-4.0
FEMININO,HOLOGRAMME,2.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-63.0
FEMININO,HOLOGRAMME,2.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-10.0
FEMININO,HOLOGRAMME,2.0,COWBOY,HOLOGRAMME,8.0,both,-6.0
