normalized_url,sku_count,skus,sources,categories,prices
https://hologrammeparis.com/product/casquette-18474g,1,Boné – 18474,excel; sheet,BOINAS VERÃO,45.0
https://hologrammeparis.com/product/casquette-18474ol,1,Boné – 18474,excel; sheet,BOINAS VERÃO,45.0
https://hologrammeparis.com/product/casquette-18500mi,1,Boné – 18500MI,excel; sheet,BOINAS INVERNO,85.0
https://hologrammeparis.com/product/casquette-18501mi,1,Boné – 18501MI,excel; sheet,BOINAS INVERNO,85.0
https://hologrammeparis.com/product/casquette-18502mi,1,"Boné – 18438MC
18502MI",excel; sheet,BOINAS INVERNO,85.0
https://hologrammeparis.com/product/casquette-18508k,1,"Boné – 18508MI
18452",excel; sheet,BOINAS INVERNO,55.0
https://hologrammeparis.com/product/casquette-18508mi,1,"Boné – 18508MI
18452",excel; sheet,BOINAS INVERNO,55.0
https://hologrammeparis.com/product/casquette-22103,1,Casquette – 22103,excel; sheet,FEMININO,24.9
https://hologrammeparis.com/product/casquette-22174,1,Boné – 22174,excel; sheet,BOINAS INVERNO,29.9
https://hologrammeparis.com/product/casquette-22195,1,Boné – 22195,excel; sheet,BOINAS INVERNO,29.9
https://hologrammeparis.com/product/casquette-22224,1,Boné – 22182,excel; sheet,BOINAS INVERNO,27.5
https://hologrammeparis.com/product/casquette-22238,1,Boné – 22238,excel; sheet,FEMININO,29.9
https://hologrammeparis.com/product/casquette-25023,1,Boné – 25023,excel; sheet,BOINAS INVERNO,29.9
https://hologrammeparis.com/product/casquette-25025,1,Boné – 25025,excel; sheet,BOINAS INVERNO,29.9
https://hologrammeparis.com/product/casquette-e18107bl,1,"Boné – 18107
Boné – 18515",excel; sheet,BOINAS VERÃO,47.5
https://hologrammeparis.com/product/chapeau-49103,1,Chapéu – 49103,excel; sheet,À PROVA D´ÁGUA,45.0
https://hologrammeparis.com/product/chapeau-art-970-pack-12,1,Chapéu – Art 970 (Pack 12),excel; sheet,CHAPÉUS LÃ,29.9
https://hologrammeparis.com/product/chapeau-waterproof-art-181054-pack-12,1,"Chapéu Impermeável – Art 181054 (Pack 12)

Tags: Fabricado na Itália , Lã Esmagável Impermeável",excel; sheet,CHAPÉUS LÃ,67.5
https://hologrammeparis.com/product/chapeau-waterproof-art-181056-pack-12,1,"Chapéu Impermeável – Art 181056

Tags: Fabricado na Itália , Lã,  Esmagável,  Impermeável",excel; sheet,CHAPÉUS LÃ,49.9
https://hologrammeparis.com/product/gants-17119n,1,Gants – 17119,excel; sheet,ARTIGOS EM PELE,35.0
https://hologrammeparis.com/product/gants-17120n,1,Gants – 17120,excel; sheet,ARTIGOS EM PELE,35.0
https://hologrammeparis.com/product/paille-941216-cuir,1,Palha – 941216 Couro,excel; sheet,PALHA,35.0
https://hologrammeparis.com/product/panama-201752-ecru,1,Panamá – 201752,excel; sheet,PANAMÁ,67.5
https://hologrammeparis.com/product/panama-201754,1,Panamá – 201754,excel; sheet,PANAMÁ,67.5
https://hologrammeparis.com/product/panama-art-931-japonais,1,Panamá – 931,excel; sheet,PANAMÁ,67.5
https://hologrammeparis.com/product/porte-monnaie-5657,1,Porte-Monnaie – 5657,excel; sheet,ARTIGOS EM PELE,35.0
